koi_period,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,status
9.75192101,0,0.949,4.793,418,0.024042,0.044,2.76,0.0902,80.97,870,135.66,6.05,5775,4.405,0.16,1.053,1.026,CONFIRMED
38.5576546,0,0.911,5.794,993,0.03498,0.19756,4.02,0.2255,87.91,550,21.71,24.9,5775,4.405,0.16,1.053,1.026,CONFIRMED
3.525632539,0,0.12,2.59959,22335,0.13372,2.43681,11.58,0.0431,89.41,975,213.12,11.699,5150,4.572,0.08,0.793,0.855,CONFIRMED
34.84398644,0,0.934,2.9315,4523.6,0.080046,1.86832,7.61,0.1971,88.92,511,16.1,49.31,5509,4.482,-0.16,0.871,0.84,CANDIDATE
7.748094239,0,0.517,3.5957,2472.1,0.046615,1.06292,5.52,0.081,88.02,964,204.39,15,5973,4.439,0.36,1.085,1.181,CONFIRMED
23.96793669,0,0.416,3.827,1182.3,0.03141,3.03325,1.8,0.1322,89.47,329,2.77,45.2,3747,4.728,0.1,0.524,0.536,CONFIRMED
8.11437482,0,0.573,2.2736,1558,0.037204,3.76716,2.1,0.0649,88.61,460,10.55,23.58,3692,4.753,0.28,0.517,0.553,CONFIRMED
38.036729482,0,0.501,4.34617,82872,0.27018,6.21385,27.5,0.2252,89.63,500,14.81,78.037,5575,4.521,0.36,0.932,1.051,FALSE POSITIVE
4.64090031,0,1.28,35.512,2450.6,0.333559,0.00218,30.09,0.0503,19.01,1155,421.08,1.354,6463,4.5,-1.66,0.826,0.786,CANDIDATE
3.747838198,0,1.121,5.0642,616,0.151387,0.00878,13.65,0.046,53.12,1031,266.76,1.868,5514,4.569,-0.04,0.826,0.926,FALSE POSITIVE
14.74914825,0,0.173,6.0995,430.2,0.018864,0.55575,2.89,0.1221,89.47,874,137.91,18.56,5847,4.191,0.26,1.402,1.113,CONFIRMED
