ra,dec,flux_1_100_gev,detection_significance,spectrum_type,pivot_energy,energy_flux,pl_flux_density,pl_index,lp_flux_density,lp_index,lp_beta,plec_flux_density,plec_index,plec_exp_factor,plec_exp_index,plec_curve_significance,npred,variability_index,frac_variability,source_type
222.95625,-38.8536111111111,1.0844e-10,4.0862,PowerLaw,4898.27,1.2047e-12,4.4106e-15,2.0523,4.4734e-15,2.0506,0.0066,4.4607e-15,2.0241,6e-05,0.6667,0.08,137.16,8.21679,0,NOT_BLL
246.912916666667,-38.8744444444444,5.5651e-10,8.1588,PowerLaw,1629.93,7.3419e-12,2.4143e-13,2.3984,2.8686e-13,2.3322,0.1298,2.6421e-13,2.165,0.00156,0.6667,1.34,775.54,12.526274,0.318,NOT_BLL
107.724583333333,-38.8513888888889,6.2242e-10,15.545,LogParabola,1085.01,7.5426e-12,7.1834e-13,2.4952,8.7409e-13,2.5772,0.1727,8.8043e-13,1.9639,0.00757,0.6667,2.41,1345.58,107.17543,0.7879,NOT_BLL
80.4716666666667,-38.8066666666667,3.237e-10,14.1922,PowerLaw,722.52,5.3759e-12,1.1992e-12,2.5941,1.2672e-12,2.5646,0.0497,1.235e-12,2.4992,0.00109,0.6667,0.76,1119.47,103.892738,0.7872,NOT_BLL
269.792916666667,-38.8216666666667,1.0794e-09,15.5201,LogParabola,1306.54,6.6506e-12,6.4189e-13,2.3879,8.3367e-13,2.0552,0.3578,8.1141e-13,1.1151,0.01041,0.6667,5.2,954.3,22.134476,0.3211,NOT_BLL
220.155,-38.7797222222222,5.7716e-10,21.0421,PowerLaw,6415.3,7.556e-12,1.7465e-14,1.7344,1.8955e-14,1.6746,0.047,1.8835e-14,1.5433,0.00037,0.6667,1.77,503.71,8.707357,0,BLL
299.5025,-38.7547222222222,2.9324e-09,57.6007,LogParabola,684.73,2.7619e-11,8.8997e-12,2.3397,1.0443e-11,2.1776,0.178,1.0003e-11,1.8452,0.00585,0.6667,9.26,4678.83,248.641266,0.3795,NOT_BLL
23.58875,-38.7086111111111,1.388e-10,7.4411,PowerLaw,831.91,2.0196e-12,3.2717e-13,2.4898,3.7022e-13,2.429,0.1031,3.6038e-13,2.1798,0.0034,0.6667,1.23,442.98,33.865784,0.8408,NOT_BLL
278.260416666667,-38.6702777777778,4.3816e-10,8.9288,PLSuperExpCutoff,1538.48,2.6e-12,1.5078e-13,2.3043,2.5599e-13,2.2763,0.5046,2.4963e-13,0.7747,0.01485,0.6667,4.61,441.18,14.659993,0.3102,NOT_BLL
89.5233333333333,-38.6316666666667,6.387e-10,23.8652,PowerLaw,2829.84,7.3715e-12,8.0919e-14,1.9067,8.7909e-14,1.8395,0.0564,8.6799e-14,1.703,0.00073,0.6667,2.11,734.76,14.162378,0.1912,BLL
