ra,dec,redshift,umag,gmag,rmag,imag,zmag,nmag,gal_abs_u,log_nh_gal
28.8174041666667,-9.76555277777778,0.5634,21.47,20.881,20.808,20.243,20.806,21.789,0.114,20.344
3.02607916666667,-9.76010833333333,0.5667,19.587,19.251,19.321,19.195,19.188,20.659,0.176,20.491
26.31915,-9.75481666666667,2.7313,17.532,16.83,16.764,16.634,16.625,21.313,0.166,20.431
14.013725,-9.75291666666667,1.5872,19.62,19.351,19.188,18.898,18.974,20.047,0.211,20.58
339.8043125,-9.7493,0.7911,19.361,18.995,18.987,19.037,18.81,19.334,0.352,20.683
342.834570833333,-9.73781388888889,1.1889,19.989,19.51,18.992,18.892,18.911,20.405,0.256,20.575
337.99265,-9.7333,0.9185,18.327,17.733,17.475,17.418,17.195,18.227,0.263,20.667
337.652620833333,-9.71687777777778,1.7611,19.59,19.406,19.366,19.097,19.042,19.904,0.294,20.668
26.1162416666667,-9.70768333333333,1.555,19.668,19.352,19.246,19.066,19.111,20.369,0.156,20.435
5.40220416666667,-9.69559722222222,2.0919,19.492,19.43,19.268,19.123,18.842,22.747,0.215,20.516
0.92175,-9.68363333333333,1.7391,20.205,19.984,19.955,19.755,19.602,21.1,0.166,20.483
343.175954166667,-9.67966944444444,1.2696,19.562,19.469,19.084,18.896,18.894,19.9,0.247,20.567
30.2342,-9.66857777777778,0.2172,19.157,18.838,18.539,18.099,18.234,19.753,0.13,20.318
27.5771625,-9.66555555555556,1.1764,19.502,19.217,18.972,18.969,18.896,20.076,0.163,20.394
338.968275,-9.66413611111111,0.6158,21.34,19.935,19.613,19.173,19.185,22.032,0.313,20.676
25.4484583333333,-9.66049444444445,2.1497,19.513,19.176,19.028,18.987,18.892,22.094,0.148,20.449
30.7479458333333,-9.657075,1.3308,19.598,19.457,19.162,19.027,19.069,20.257,0.133,20.324
28.9022375,-9.65426944444445,1.5802,20.104,19.478,19.26,18.98,19.04,20.583,0.116,20.338
2.7054375,-9.65178333333333,1.5021,19.622,19.392,19.288,19.136,19.02,20.005,0.173,20.493
2.75100833333333,-9.65099722222222,1.5711,20.498,20.367,20.328,20.221,20.259,20.833,0.175,20.493
339.571908333333,-9.64978611111111,0.8446,17.467,17.121,16.964,16.937,16.812,17.272,0.315,20.682
